    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
   1095     866 R+     0  19   3  500  0.0    1 ps
   1059     157 Rl     0  19   2  170 63.2   11 llama-server
   1029     157 Sl     0  19   0 22.3  5.7   11 llama-server
    847     846 Sl+    0  19   0  1.5  3.1   21 streamlit
    157       1 Ssl    0  19   1  0.1  0.6   12 ollama
      1       0 Ss     0  19   0  0.0  0.1    1 systemd
     94       1 Ss     0  19   0  0.0  0.1    1 systemd-udevd
     52       1 S<s   -1  20   0  0.0  0.2    1 systemd-journal
    866     865 Ss     0  19   0  0.0  0.0    1 bash
    394     392 Ss     0  19   3  0.0  0.0    1 bash
    156       1 Ss     0  19   1  0.0  0.3    1 networkd-dispat
    467       1 Ss     0  19   1  0.0  0.1    1 systemd
    302       1 Ssl    0  19   1  0.0  0.3    2 unattended-upgr
    206       1 Ssl    0  19   3  0.0  0.0    4 rsyslogd
     86       1 Ss     0  19   0  0.0  0.1    1 systemd-resolve
    392     391 S      0  19   2  0.0  0.0    1 Relay(394)
    234     144 S      0  19   2  0.0  0.0    1 chronyd
    165       1 Ss     0  19   2  0.0  0.1    1 systemd-logind
    865     864 S      0  19   0  0.0  0.0    1 Relay(866)
    147       1 Ss     0  19   0  0.0  0.0    1 dbus-daemon
    846     394 S+     0  19   2  0.0  0.1    1 python3
    144       1 Ss     0  19   2  0.0  0.0    1 chronyd-starter
    498     403 Ss+    0  19   1  0.0  0.0    1 bash
    146       1 Ss     0  19   1  0.0  0.0    1 cron
    855     847 Zs     0  19   2  0.0  0.0    1 gio
    403       2 Ss     0  19   3  0.0  0.0    1 login
    321       1 Ss+    0  19   0  0.0  0.0    1 agetty
      2       1 Sl+    0  19   2  0.0  0.0    2 init-systemd(Ub
      9       2 Sl+    0  19   0  0.0  0.0    2 init
    245     234 S      0  19   0  0.0  0.0    1 chronyd
    391       2 Ss     0  19   2  0.0  0.0    1 SessionLeader
    469     467 S      0  19   0  0.0  0.0    1 (sd-pam)
    864       2 Ss     0  19   3  0.0  0.0    1 SessionLeader
