    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
    847     846 Sl+    0  19   0  5.3  1.7   10 streamlit
    866     865 Ss     0  19   1  0.2  0.0    1 bash
      1       0 Ss     0  19   3  0.1  0.1    1 systemd
     94       1 Ss     0  19   0  0.0  0.1    1 systemd-udevd
    846     394 S+     0  19   2  0.0  0.1    1 python3
    157       1 Ssl    0  19   1  0.0  0.4   10 ollama
    394     392 Ss     0  19   3  0.0  0.0    1 bash
    156       1 Ss     0  19   1  0.0  0.3    1 networkd-dispat
     52       1 S<s   -1  20   0  0.0  0.2    1 systemd-journal
    467       1 Ss     0  19   1  0.0  0.1    1 systemd
    302       1 Ssl    0  19   1  0.0  0.3    2 unattended-upgr
    855     847 Zs     0  19   2  0.0  0.0    1 gio
    392     391 S      0  19   2  0.0  0.0    1 Relay(394)
    165       1 Ss     0  19   1  0.0  0.1    1 systemd-logind
     86       1 Ss     0  19   0  0.0  0.1    1 systemd-resolve
    234     144 S      0  19   2  0.0  0.0    1 chronyd
    206       1 Ssl    0  19   3  0.0  0.0    4 rsyslogd
    147       1 Ss     0  19   0  0.0  0.0    1 dbus-daemon
    144       1 Ss     0  19   2  0.0  0.0    1 chronyd-starter
    498     403 Ss+    0  19   1  0.0  0.0    1 bash
    403       2 Ss     0  19   3  0.0  0.0    1 login
    321       1 Ss+    0  19   0  0.0  0.0    1 agetty
    146       1 Ss     0  19   1  0.0  0.0    1 cron
      2       1 Sl+    0  19   2  0.0  0.0    2 init-systemd(Ub
      9       2 Sl+    0  19   0  0.0  0.0    2 init
    245     234 S      0  19   0  0.0  0.0    1 chronyd
    391       2 Ss     0  19   2  0.0  0.0    1 SessionLeader
    469     467 S      0  19   0  0.0  0.0    1 (sd-pam)
    864       2 Ss     0  19   3  0.0  0.0    1 SessionLeader
    865     864 S      0  19   3  0.0  0.0    1 Relay(866)
    922     866 R+     0  19   3  0.0  0.0    1 ps
    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
    847     846 Sl+    0  19   3  1.8  1.7   10 streamlit
      1       0 Ss     0  19   0  0.0  0.1    1 systemd
     94       1 Ss     0  19   0  0.0  0.1    1 systemd-udevd
    866     865 Ss     0  19   1  0.0  0.0    1 bash
    157       1 Ssl    0  19   1  0.0  0.4   10 ollama
    394     392 Ss     0  19   3  0.0  0.0    1 bash
    156       1 Ss     0  19   1  0.0  0.3    1 networkd-dispat
     52       1 S<s   -1  20   3  0.0  0.2    1 systemd-journal
    467       1 Ss     0  19   1  0.0  0.1    1 systemd
    302       1 Ssl    0  19   1  0.0  0.3    2 unattended-upgr
    392     391 S      0  19   2  0.0  0.0    1 Relay(394)
    165       1 Ss     0  19   2  0.0  0.1    1 systemd-logind
     86       1 Ss     0  19   0  0.0  0.1    1 systemd-resolve
    865     864 S      0  19   3  0.0  0.0    1 Relay(866)
    846     394 S+     0  19   2  0.0  0.1    1 python3
    234     144 S      0  19   2  0.0  0.0    1 chronyd
    206       1 Ssl    0  19   3  0.0  0.0    4 rsyslogd
    147       1 Ss     0  19   0  0.0  0.0    1 dbus-daemon
    144       1 Ss     0  19   2  0.0  0.0    1 chronyd-starter
    498     403 Ss+    0  19   1  0.0  0.0    1 bash
    855     847 Zs     0  19   2  0.0  0.0    1 gio
    403       2 Ss     0  19   3  0.0  0.0    1 login
    321       1 Ss+    0  19   0  0.0  0.0    1 agetty
    146       1 Ss     0  19   1  0.0  0.0    1 cron
      2       1 Sl+    0  19   2  0.0  0.0    2 init-systemd(Ub
      9       2 Sl+    0  19   0  0.0  0.0    2 init
    245     234 S      0  19   0  0.0  0.0    1 chronyd
    391       2 Ss     0  19   2  0.0  0.0    1 SessionLeader
    469     467 S      0  19   0  0.0  0.0    1 (sd-pam)
    864       2 Ss     0  19   3  0.0  0.0    1 SessionLeader
    970     866 R+     0  19   3  0.0  0.0    1 ps
