UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root         156       1     156  0    1 10:43 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
ollama       157       1     157  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     212  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     213  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     214  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     215  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     216  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     287  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     289  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     296  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     338  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
root         302       1     302  0    2 10:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         302       1     354  0    2 10:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
alexf        846     394     846  0    1 10:57 pts/0    00:00:00 python3 run.py
alexf        847     846     847  0   10 10:57 pts/0    00:00:01 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     848  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     849  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     850  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     851  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     853  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     859  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     861  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     862  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     863  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        938     866     938  0    1 11:00 pts/2    00:00:00 grep --color=auto -E ollama|streamlit|python|PID
UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root         156       1     156  0    1 10:43 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
ollama       157       1     157  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     212  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     213  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     214  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     215  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     216  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     287  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     289  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     296  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
ollama       157       1     338  0   10 10:43 ?        00:00:00 /usr/local/bin/ollama serve
root         302       1     302  0    2 10:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         302       1     354  0    2 10:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
alexf        846     394     846  0    1 10:57 pts/0    00:00:00 python3 run.py
alexf        847     846     847  0   10 10:57 pts/0    00:00:02 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     848  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     849  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     850  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     851  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     853  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     859  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
alexf        847     846     861  0   10 10:57 pts/0    00:00:00 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/python3 /home/alexf/SO_UFS_2026_2_Melo_Alex/ollama_pdf_rag/.venv/bin/streamlit run src/app/main.py
