top - 11:13:40 up 30 min,  1 user,  load average: 1.91, 0.98, 0.40
Threads:  90 total,   3 running,  86 sleeping,   0 stopped,   1 zombie
%Cpu(s): 51.0 us,  3.9 sy,  0.0 ni, 43.1 id,  0.0 wa,  0.0 hi,  2.0 si,  0.0 st 
MiB Mem :   7943.1 total,     72.2 free,   6208.5 used,   1822.1 buff/cache     
MiB Swap:   2048.0 total,   2047.7 free,      0.3 used.   1734.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1072 ollama    20   0 6022776   4.9g  14360 R  99.9  63.3   2:22.86 llama-s+
   1059 ollama    20   0 6022776   4.9g  14360 R  90.9  63.3   3:08.33 llama-s+
   1116 alexf     20   0    8160   5388   3396 R   9.1   0.1   0:00.03 top
      1 root      20   0   24516  15168  11240 S   0.0   0.2   0:01.00 systemd
      2 root      20   0    3172   2208   2072 S   0.0   0.0   0:00.01 init-sy+
     11 root      20   0    3172   2208   2072 S   0.0   0.0   0:00.00 Interop
      9 root      20   0    3172   2048   1940 S   0.0   0.0   0:00.00 init
     10 root      20   0    3172   2048   1940 S   0.0   0.0   0:00.00 init
     52 root      19  -1   50380  16724  15432 S   0.0   0.2   0:00.43 systemd+
     86 systemd+  20   0   22524  14112  11500 S   0.0   0.2   0:00.12 systemd+
     94 root      20   0   34968  11780   8788 S   0.0   0.1   0:00.78 systemd+
    144 root      20   0    2880   1912   1788 S   0.0   0.0   0:00.05 chronyd+
    146 root      20   0    4464   2908   2660 S   0.0   0.0   0:00.02 cron
    147 message+  20   0    8800   5000   4336 S   0.0   0.1   0:00.06 dbus-da+
    156 root      20   0   44076  25232  10104 S   0.0   0.3   0:00.25 network+
    157 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.15 ollama
    212 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.18 ollama
    213 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.37 ollama
    214 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.00 ollama
    215 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.00 ollama
    216 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.00 ollama
    287 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.46 ollama
    289 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.23 ollama
    296 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.11 ollama
    338 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.23 ollama
   1071 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.18 ollama
   1074 ollama    20   0 2183936  51172  27856 S   0.0   0.6   0:00.00 ollama
    165 root      20   0   18420   9168   7924 S   0.0   0.1   0:00.11 systemd+
    206 syslog    20   0  220532   5692   4396 S   0.0   0.1   0:00.05 rsyslogd
    264 syslog    20   0  220532   5692   4396 S   0.0   0.1   0:00.03 in:imux+
    265 syslog    20   0  220532   5692   4396 S   0.0   0.1   0:00.00 in:imkl+
    267 syslog    20   0  220532   5692   4396 S   0.0   0.1   0:00.02 rs:main+
    234 _chrony   20   0   20404   7240   6436 S   0.0   0.1   0:00.11 chronyd
    245 _chrony   20   0   12076   2352   1712 S   0.0   0.0   0:00.00 chronyd
    302 root      20   0  123440  28012  13412 S   0.0   0.3   0:00.17 unatten+
    354 root      20   0  123440  28012  13412 S   0.0   0.3   0:00.00 gmain
    321 root      20   0    5484   2672   2488 S   0.0   0.0   0:00.01 agetty
    391 root      20   0    3188   1116    980 S   0.0   0.0   0:00.00 Session+
    392 root      20   0    3188   1124    980 S   0.0   0.0   0:00.11 Relay(3+
