config,query_size,inicio,ttft_s,total_ms,ram_mb,threads,obs
padrao,curta,2026-09-15T12:19:36-03:00,94.39,95326,5281,15,-
padrao,curta,2026-09-15T12:24:40-03:00,121.05,121877,5301,15,-
padrao,curta,2026-09-15T12:25:47-03:00,66.55,67114,5328,15,-
padrao,curta,2026-09-15T12:27:48-03:00,120.08,120562,5346,15,-
padrao,curta,2026-09-15T12:28:34-03:00,45.67,46312,5371,15,-
padrao,longa,2026-09-15T12:39:41-03:00,659.13,666256,5387,15,-
padrao,longa,2026-09-15T12:46:55-03:00,431.63,433878,5521,15,-
padrao,longa,2026-09-15T12:57:08-03:00,611.07,612661,5618,15,-
padrao,curta,2026-09-15T14:52:05-03:00,71.48,71801,5847,15,-
padrao,curta,2026-09-15T14:53:05-03:00,60.13,60488,5865,15,-
padrao,curta,2026-09-15T14:54:28-03:00,82.9,83244,5884,15,-
padrao,curta,2026-09-15T14:55:06-03:00,36.57,36972,5912,15,-
padrao,longa,2026-09-15T15:00:49-03:00,337.0,343199,5981,19,-
padrao,longa,2026-09-15T15:09:45-03:00,535.16,536360,6021,15,-
padrao,longa,2026-09-15T15:18:34-03:00,526.49,528031,6166,15,-
padrao,longa,2026-09-15T15:28:09-03:00,573.77,575639,6290,15,-
rag-ativo,curta,2026-09-15T15:29:15-03:00,62.68,66013,6429,15,-
rag-ativo,curta,2026-09-15T15:31:28-03:00,132.49,132870,6444,15,-
rag-ativo,curta,2026-09-15T15:32:51-03:00,81.68,82184,6480,15,-
rag-ativo,curta,2026-09-15T15:33:49-03:00,57.54,57998,6505,15,-
